site_id,district,street,nr_of_rooms,area_m2,floor,floor_max,series,building_type,extra,price,price_m2,site,description,id
centre/fjcki,centrs,Gogoļa 10,2,60,3,5,P. kara,Mūra,,90000.00,1500.00000,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/fjcki.html,"Renovēts dzīvoklis lieliskā vietā Rīgas centrālajā daļā, 1900. gadā celtā mājā ar biezām sienām, augstiem griestiem un liftu. 
Divas izolētas istabas, plaša virtuve, priekšnams un vannas istaba ar dušu. 
Apkure un aukstais ūdens -- centrālā, karstais ūdens -- no elektriskā boilera. 

Dzīvoklis nav stūra, tas ir gaišs, mājīgs un ļoti silts, logi vērsti uz dažādām pusēm: istabas vērstas uz Benjamiņas ielu (bijušo Gogoļa ielu), virtuve – uz mājas iekšpagalmu. 

Tika veikta oficiāla pārbūve un remonts, pēc remonta neviens nedzīvoja. 
- nomainīta elektroinstalācija, pievienotas jaunas rozetes un virtuves ierīcēm uzstādīts strāvas kabelis, 
- nomainīta santehnika, 
- sienas ir izlīdzinātas ar apmetumu un nokrāsotas, 
- griesti – ģipškartons ar iebūvētiem gaismekļiem, 
- istabās, virtuvē un gaitenī uz grīdas - ūdensizturīgs un izturīgs 33. klases vācu lamināts, 
- vannas istabā uz sienām ir keramikas flīzes, uz grīdas - akmens flīzes, 
- dzīvoklī ir uzstādītas divas ieejas durvis. 

Dārgākais komunālo pakalpojumu rēķins šogad bija martā 186 eiro, tai skaitā: februāra apkure - 105 eiro, apkope - 44 eiro, atskaitījums uz uzkrājumiem gaidāmajiem mājas remontiem - 12 eiro, lifta apkope - 5 eiro. 

Dzīvoklis ir reģistrēts Zemesgrāmatā, nav parādu vai kredītu. 
Zeme ir īpašumā. Dokumenti ir kārtībā. 

Māju apkalpo AS RNA (Rīgas namu apsaimniekotais), darbojas arī mājas valde un īpašnieku tērzēšanas čats, kur tiek apspriesti un risināti ar mājas dzīvi saistīti jautājumi. 
Kaimiņi ir mierīgi un inteliģenti, nav ne dzērāju, ne nemiera cēlāju. 

Māja pašlaik nav sadalīta atsevišķos dzīvokļu īpašumos, bet dokumenti sadalīšanai jau ir sagatavoti un iesniegti izskatīšanai. Process nav sarežģīts, bet nav ātrs. Mājas valde paredz, ka šis jautājums tiks pabeigts līdz šī gada beigām. 
Un mājai ir plānota fasādes restaurācija, kas notiks trīs posmos. Fasādes restaurācija no Benjamiņas (Gogoļa) ielas puses ir plānota uz 2026. gadu. Mājas iekšējā fasāde jau tika renovēta pirms vairākiem gadiem, un mājai ir arī jauns jumts un notekcaurules. 

STARPNIEKU PAKALPOJUMI NEINTERESĒ. 

xx xx xx x x x x x x xx

Отремонтированная квартира в отличном месте центрального района Риги, в доме, построенном в 1900 году, с толстыми стенами, высокими потолками и лифтом. 
Две изолированные комнаты, просторная кухня, прихожая и санузел с душем. 

Отопление и холодная вода - центральные, горячая вода – от электрического бойлера. 
Квартира не угловая, светлая, уютная и очень тёплая, окна выходят на противоположные стороны: комнат - на улицу Беньяминяс (бывшая Гоголя), кухни – во внутренний двор дома. 

Cделана официальная перепланировка и ремонт, после ремонта никто не жил. 
- заменена электропроводка, добавлены новые точки розеток и силовой кабель для техники на кухне, 
- заменена сантехника, 
- стены выровнены штукатуркой и окрашены, 
- потолки – регипс со встроенными светильниками, 
- на полу в комнатах, кухне и прихожей - водостойкий и прочный немецкий ламинат 33-го класса, 
- в санузле на стенах – кафельная плитка, на полу – каменная плитка, 
- установлены две входные двери в квартиру. 

Самый дорогой коммунальный счёт этого года был в марте - 186 евро, в том числе: отопление февраля - 105 евро, обхозяйствование - 44 евро, отчисление в накопление на предстоящие ремонты дома - 12 евро, обслуживание лифта – 5 евро. 

Квартира зарегистрирована в Земельной книге, долгов и кредитов нет. Документы в порядке. 
Земля – в собственности. 

Обслуживает дом AS RNA (Rīgas namu apsaimniekotais), есть также правление дома и чат собственников, - в нём обсуждаются и решаются вопросы жизнедеятельности дома. 
Соседи спокойные и интеллигентные, пьяниц и дебоширов нет. 

Дом в данный момент не разделён на отдельные квартирные собственности, но документы на разделение уже подготовлены и поданы на рассмотрение. Процесс этот не сложный, но не быстрый. Правление дома рассчитывает, что до конца этого года это дело будет сделано. 

Дому также предстоит реставрация фасада, она будет проходить в три этапа. На 2026 год запланирована реставрация фасада со стороны улицы Беньяминяс (Гоголя). Внутренний фасад дома несколько лет назад уже отремонтирован, также у дома новая крыша и водостоки. 

УСЛУГИ ПОСРЕДНИКОВ НЕ ИНТЕРЕСУЮТ.",1012
centre/dofei,centrs,Zaļā 4,2,83,5,7,Specpr.,Ķieģeļu,Parkošanas vieta,138000.00,1662.65000,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/dofei.html,"Pārdod mājīgu un ļoti siltu dzīvokli Rīgas klusajā centrā. 40 gadus veca ēka, kas ir lieliski saglabājusies un izceļas ar labu skaņas izolāciju. 

Dzīvokļa raksturojums:

2 izolētas istabas piemērots ģimenei vai tiem, kuri novērtē privātumu. 
Vannas istaba ar logu papildus gaisma un ventilācija. 
Logi vērsti uz trim pusēm, nodrošinot daudz dabiskā apgaismojuma visas dienas garumā. 
Zemi komunālie maksājumi, pateicoties mājas apsaimniekošanai īpašnieku biedrībā. 

Mājas un atrašanās vietas priekšrocības:

Ēkā ir lifts, un uz stāva ir tikai 3 dzīvokļi, kas nodrošina mājīgu atmosfēru un komfortablu dzīvošanu. 
Ieeja aprīkota ar kodu atslēgu, un dzīvoklī ir divas ieejas durvis, kas garantē papildus drošību. 
Lieliski kaimiņi draudzīga un mierīga atmosfēra. 
Viss nepieciešamais ērtai dzīvei atrodas pastaigas attālumā: veikali, kafejnīcas, skolas, medicīnas iestādes un sabiedriskais transports. 
Lielisks piedāvājums tiem, kuri meklē siltu un ekonomisku dzīvokli prestižā rajonā ar attīstītu infrastruktūru. 

Продается уютная и очень теплая квартира в тихом центре Риги. Дом 40-летней постройки, отлично сохранился и отличается хорошей звукоизоляцией. 

Характеристики квартиры:

2 изолированные комнаты удобно для семьи или для тех, кто ценит личное пространство. 
Ванная комната с окном дополнительный свет и вентиляция. 
Окна выходят на три стороны, что обеспечивает много естественного света в течение всего дня. 
Низкие коммунальные счета благодаря обслуживанию дома обществом владельцев. 

Преимущества дома и расположения:

Дом оборудован лифтом, на этаже всего 3 квартиры, что гарантирует уютную атмосферу и комфортное проживание. 
Подъезд оснащен кодовым замком, а в квартире две входные двери, что обеспечивает дополнительную безопасность. 
Замечательные соседи дружелюбная и спокойная атмосфера. 
Всё, что нужно для комфортной жизни, находится в пешей доступности: магазины, кафе, школы, медицинские учреждения и транспорт. 

Отличное предложение для тех, кто ищет теплую и экономную квартиру в престижном районе с развитой инфраструктурой.",1013
centre/gpmmp,centrs,Lāčplēša 129,3,74,3,5,P. kara,Mūra,Parkošanas vieta,164000.00,2216.22000,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/gpmmp.html,"Visi logi uz lielu pagalmu, izņemot vienu istabu. 
Dzīvoklis ir pēc kapitālā remonta, dizainera veidota apdare. 
Nomainītas visas komunikācijas, nosiltinātas sienas, izlīdzinātas grīdas. 
Dzīvoklis ir pilnībā aprīkots, pēc remonta neviens nav dzīvojis. Uzstādīts gaisa kondicionētājs un gāzes apkure. 
Pārbūves projekts ir saskaņots. 
Ekskluzīvas mēbeles, santehnika. 
Dzīvokļa griestos ierīkota ar pulti vadāma akustiskā sistēma. 
Vienas guļamistabas logi vērsti uz ielu, otrās guļamistabas, viesistabas un virtuves logi vērsti uz pagalmu. 
Pagalmā ir vieta automašīnai. 

Квартира после капитального ремонта с участием дизаинера. 
Все коммуникации заменены, утеплены стены, выровнены полы. 
Квартира полностью оборудована, после ремонта никто не жил, установлен кондиционер , газовое отопление. Проект перепланировки согласован. 
Эксклюзивная мебель, сантехника. 
В квартире в потолке установлена акустическая система, управляемая с пульта. 
Окна одной спальни выходят на улицу, окна второй спальни , гостиной и кухни во двор. 
Во дворе место для машины.",349
agenskalns/bciohm,Āgenskalns,Puķu 7,2,71,1,2,P. kara,Koka,Parkošanas vieta,129000.00,1816.90000,https://www.ss.com/msg/lv/real-estate/flats/riga/agenskalns/bciohm.html,"Dzīvoklis skaistā zaļā Āgenskalna rajonā, klusā skaistā vietā ar labu sabiedrisko transportu, blakus vairākiem parkiem, Āgenskalna tirgum, Kalnciema kvartālam, tuvu centram, privāto māju rajonā. Blakus atrodas vairākas skolas un bērnudārzi. 
Koka māja - daļēji renovēta, nosiltināta mājas iekšpagalma (dzīvokļa) puse, atjaunoti skursteņi, notek caurules, šobrīd notiek parējās mājas fasādes renovācija. Mājai nav parādu, kredītu. Dzīvoklim īpašumā zeme. Ļoti jauki kaimiņi. 
Mājai ir slēgts pagalms, elektroniski verami vārti, videonovērošanas kameras, pagalmā divām automašīnām stāvvieta, mājas pagalmā šķūnītis (mantām un riteņiem), pagrabs un bēniņi. Ir projekts – pagalmā izbūvēt garāžu. Pagalmā ir augļu koki un krūmi. Pagalmā atpūtas stūrītis kur vasarā baudīt rīta kafiju vai sarīkot pikniku pie grila. Dzīvokļa logi iziet uz pagalma pusi, ir vieta bērnu spēļu laukumam. 
Dzīvoklī divas istabas ar iebūvētu apsildāmu ventilācijas sistēmu, augsti griezti 3m, laba skaņas izolācija. 
Mājīga, saulaina viesistaba ar kamīnu 28.46 m2. Otra istaba pārbūvēta divās istabās - guļamistaba un bērnistabā, var arī izmantot kā darba kabinetu vai drēbju glabātuves istabu. 
Virtuve 9.5 m2, koridors, vannas istaba un tualete atsevišķi. Virtuvē iebūvējamās mēbeles ar apgaismojumu, karstum izturīgs stikls visa darba galda garumā un trauku mazgājama mašīna, gāzes plīts, elektriskā cepeškrāsns, tvaika nosūcējs, ledusskapis. Gāzes apkures katls, kas dod iespēju dzīvoklī regulēt apkuri pēc saviem ieskatiem. 
Vannas istabā uzsākts remonts - nepabeigts, nepieciešamie materiāli ir iepirkti, ūdens un kanalizācijas caurules nomainītas, jaunas mēbeles, dušas kabīne un dvieļu žāvētājs pieslēgts pie apkures, vasarā elektriski apsildāms. 

Lūgums - starpniekus netraucēt.",350
centre/combc,centrs,Ģertrūdes 24,3,82,2,5,P. kara,Mūra,,163000.00,1987.80000,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/combc.html,"Pārdošanā ļoti kluss, kvalitatīvs un mēbelēts dzīvoklis Rīgas Centrā. 

Dzīvokļa plānojuma apraksts:
- dzīvojamā istaba;
- virtuve;
- galvenā guļamistaba;
- izolēta istaba;
- vannas istaba un tualete;
- saimniecības telpa;
- priekštelpa, gaitenis. 

Spiediet pogu Apskatīties, lai aplūkotu 3D tūri. 

Dzīvoklī nesen veikts remonts. Tas ir gaišs un plašs, īpašu plašuma sajūtu sniedz 3, 2 m augstie griesti. Dzīvoklī ir kluss - nav dzirdami ielas trokšņi, jo tas atrodas iekšpagalma mājā. Mainīti stāvvadi, pārvilkta elektrība, un saglabāta kvalitatīva koka dēļu grīda, kas piešķir dzīvoklim īpašu šarmu.  Labs plānojums ar plašu dzīvojamo istabu, kurā atrodas vēsturiskā krāsns. Tāda pati krāsns atrodas arī virtuvē. Galvenajā guļamistabā ir iebūvētais skapis visas sienas platumā. Vēl viena istaba šobrīd tiek izmantota kā bērnistaba, tomēr to var izmantot arī kā viesu istabu vai kabinetu. Vannasistabā ir jauns un moderns remonts, uzstādīta skaista vanna, aiz vannas istabas atrodas neliela saimnieciskā telpa, kur var uzglabāt dažādas mantas. 
 
Centrālā apkure, komunālie maksājumi ziemā aptuveni 250 EUR/mēnesī, vasarā aptuveni 130 EUR/mēnesī. Apsaimniekotājs ir biedrība. Iespējams iegādāties autostāvvietu iekšpagalmā. 

Dzīvoklis atrodas pašā Rīgas centrā, kur tuvumā atrodas visa ikdienā nepieciešamā infrastruktūra: veikali, izglītības iestādes, kafejnīcas, pakomāti, sabiedriskā transporta pieturas u. c. Vien 700 m attālumā atrodas Vērmanes dārzs un Esplanāde, kur var rāmi atpūsties un baudīt dzīvi Rīgas centrā. 

Zvaniet, rakstiet (SMS, WhatsApp, E-mail), lai noskaidrotu sīkāku informāciju. 

---

Продаётся очень тихая, качественная и меблированная квартира в центре Риги. 

Описание планировки квартиры:
- гостиная;
- кухня;
- главная спальня;
- изолированная комната;
- ванная комната и туалет;
- хозяйственное помещение;
- прихожая, коридор. 

Нажмите кнопку Посмотреть, чтобы открыть 3D-тур. 

В квартире недавно сделан ремонт. Она светлая и просторная, особое ощущение простора создают потолки высотой 3, 2 м. В квартире тихо – уличный шум не слышен, так как она расположена в доме во дворе. Заменены стояки, проведена новая электропроводка, сохранён качественный деревянный пол, который придаёт квартире особый шарм. Удобная планировка с просторной гостиной, в которой находится историческая печь. Такая же печь есть и на кухне. В главной спальне встроенный шкаф во всю ширину стены. Ещё одна комната в настоящее время используется как детская, но её можно переоборудовать в гостевую комнату или кабинет. В ванной комнате сделан новый современный ремонт, установлена красивая ванна. За ванной комнатой находится небольшое хозяйственное помещение, где можно хранить различные вещи. 

Центральное отопление, коммунальные платежи зимой около 250 EUR/месяц, летом около 130 EUR/месяц. Управляющая компания – товарищество владельцев. Возможно приобретение парковочного места во дворе. 

Квартира находится в самом центре Риги, где рядом есть вся необходимая инфраструктура: магазины, учебные заведения, кафе, постаматы, остановки общественного транспорта и др. Всего в 700 м расположены Верманский парк и Эспланада, где можно спокойно отдохнуть и насладиться жизнью в центре города. 

Звоните, пишите (SMS, WhatsApp, E-mail), чтобы узнать подробности. 

---

For sale: a very quiet, high-quality and furnished apartment in the heart of Riga. 

Apartment layout:
- living room;
- kitchen;
- master bedroom;
- separate room;
- bathroom and toilet;
- utility room;
- entrance hall, corridor. 

Click the View button to explore the 3D tour. 

The apartment has been recently renovated. It is bright and spacious, with 3.2 m high ceilings enhancing the sense of openness. The apartment is quiet, as it is located in a courtyard building, ensuring no street noise. The plumbing has been replaced, new electrical wiring installed, and a high-quality wooden floor preserved, adding a special charm to the apartment. It features a well-thought-out layout with a spacious living room that includes a historic stove. The same type of stove is also in the kitchen. The master bedroom has a built-in wardrobe spanning the entire width of the wall. Another room is currently used as a children's room but can easily be converted into a guest room or office. The bathroom has been newly renovated in a modern style, featuring a beautiful bathtub. Behind the bathroom, there is a small utility room for storing various items. 

Central heating. Utility costs are approximately €250/month in winter and €130/month in summer. The building is managed by a homeowners' association. A parking space in the courtyard is available for purchase. 

The apartment is located in the very center of Riga, with all essential infrastructure nearby: shops, educational institutions, cafes, parcel lockers, public transport stops, and more. Just 700 m away, you will find Vērmanes Garden and Esplanāde Park, perfect for relaxation and enjoying life in the city center. 

Call or message (SMS, WhatsApp, Email) for more details.",351
kengarags/bgxfg,Ķengarags,Ikšķiles 3,2,35,1,5,Hrušč.,Ķieģeļu,,40900.00,1168.57000,https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/bgxfg.html,"Dzīvoklī tikko veikts remonts. 
Telpas ir izolētas. 
Vannas istaba un tualete ir atsevišķi. 
Nav leņķa. 
Dzīvoklis ir ļoti silts un gaišs. 
Zeme ir īpašumā. 
Nav lieli komunālie maksājumi. 
Ļoti mājīgs dzīvoklis klusā vietā. 
Lieliska atrašanās vieta. 
Iespējama apmaiņa pret 1-2 istabu dzīvokli bez remonta ar jūsu papildu samaksu. 
Nepiedāvāt Vecmīlgrāvi un Bolderāju. 

Продается только что отремонтированная квартира. 
Комнаты изолированные. 
Ванная и туалет отдельно. , 
Не угловая. 
Квартира очень теплая и светлая. 
Земля в собственности. 
Низкие коммунальные платежи. 
Очень уютная квартира в тихом месте. 
Отличное месторасположение. 
Возможен обмен на 1- 2 комнатную квартиру без ремонта с Вашей доплатой. 
Vecmilgravis и Bolderaju не предлагать.",352
centre/ffhpn,centrs,Vīlandes 5,5,165,4,5,P. kara,Mūra,Pirts,350000.00,2121.21000,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/ffhpn.html,"Продается уникальная 5-ти комнатная квартира в лучшем и престижном историческом районе Риги, на улице Виландес. 
Этот дом является памятником архитектуры и культуры государственного значения. Для Риги он играет особую роль. Это один из первых домов в стиле югенд. Его построили по проекту архитектора Рудольфа Генриха фон Цирквица в конце 19-го века. 
Общая площадь квартиры165.4 м2. 4 этаж 5-ти этажного дома. Удобная и просторная парадная на кодовом замке и домофоном. 
Квартира очень светлая с большими окнами и с отличной планировкой: 4 изолированных комнаты под спальни, одна большая гостиная с прилегающей кухонной зоной, 2 санузла, гардеробная, баня. 
3 уникальных камина с изразцами Мейсенской мануфактуры. 
Высота потолков 3.2 м. На потолке историческая лепнина. 
В квартире сделан полный капитальный ремонт, паркетные полы, в санузлах теплые полы, индивидуальное газовое отопление - новый экономичный газовый котел. 
Квартира продается со всей мебелью, которая есть на фото, есть картины, которые можно оставить по дополнительной договоренности. Также остаются все осветительные приборы. 
Отличное месторасположение: посольства, парк Кронвальда, сад Виестура, школы, музыкальные школы, ВУЗы, детские сады, магазины, кафе, порт, музеи, выставочные залы, концертный зал, Дом конгрессов, бассейн, поликлиники и другие учреждения. До Старого города 10 минут пешком через парк, до железнодорожного вокзала и центрального рынка10 минут на машине, до аэропорта 20 минут на машине. Уличная парковка в зоне B (абонентская плата EUR 55 в месяц). 
Tiek pārdots unikāls 5-istabu dzīvoklis Rīgas labākajā un prestižākajā vēsturiskajā rajonā, Vīlandes ielā. 
Šī māja ir valsts nozīmes arhitektūras un kultūras piemineklis. Rīgai tas spēlē īpašu lomu. Šī ir viena no pirmajām mājām jūgendstila stilā. Tā celta pēc arhitekta Rūdolfa Heinriha fon Zirkvica projekta 19. gadsimta beigās. 
Dzīvokļa kopējā platība 165, 4 m2. 5 stāvu ēkas 4. stāvs. Ērta un ieeja mājā, ārdurvis ar kombinēto slēdzeni un domofonu. 
Dzīvoklis ir ļoti gaišs ar lieliem logiem un lielisku plānojumu: 4 izolētas guļamistabas, viena liela viesistaba ar blakus virtuves zonu, 2 sanmezgli, ģērbtuve, pirts. 
3 unikāli kamīni ar flīzēm no Meisenes manufaktūras. 
Griestu augstums ir 3.2 m. Uz griestiem ir vēsturisks apmetums. 
Dzīvoklī veikts kapitālais remonts, parketa grīdas, sanmezglos siltās grīdas, individuālā gāzes apkure - jauns ekonomisks gāzes katls. 
Dzīvoklis tiek pārdots ar visām mēbelēm, kas ir bildēs, ir gleznas, kuras var atstāt pēc papildus vienošanās. Paliek arī visi apgaismes ķermeņi. 
Lieliska atrašanās vieta: vēstniecības, Kronvalda parks, Viestura dārzs, skolas, mūzikas skolas, augstskolas, bērnudārzi, veikali, kafejnīcas, osta, muzeji, izstāžu zāles, koncertzāle, Kongresu nams, peldbaseins, klīnikas un citas iestādes. Vecpilsēta ir 10 minūšu pastaigas attālumā pa parku, dzelzceļa stacija un centrāltirgus atrodas 10 minūšu automašīnas brauciena attālumā, savukārt lidosta atrodas 20 minūšu automašīnas brauciena attālumā. Ielu autostāvvieta “B zonā” (abonēšanas maksa EUR 55 mēnesī).",353
krasta-st-area/igexg,Krasta r-ns,Dzērvju 11,2,43,3,3,Hrušč.,Ķieģeļu,,36550.00,850.00000,https://www.ss.com/msg/lv/real-estate/flats/riga/krasta-st-area/igexg.html,"Солнечная квартира. Развитая инфраструктура. 

Горячая вода газовый котел  Junkers 
Центральное отопление

Чистый подъезд на кодовом замке. 
Замечательные соседи. 

Brīnišķīga vieta ar ļoti labu infrastruktūru. 
Gāzes ūdens sildītājs Junkers
Centrālā apkurē. 

Dzīvoklis ir saulains un silts. 
Klusi un draudzīgi kaimiņi.",354
centre/gbopg,centrs,Brīvības iela 158,3,69.7,6,6,P. kara,Mūra,,76000.00,1090.39000,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/gbopg.html,"Pārdod 3-istabu dzīvokli Rīgas centrā, pirmskara laika mājā Brīvības ielā 158.

Dzīvokļa apraksts:

Atrodas ēkas sestajā (pēdējā) stāvā. 
Kopējā platība: 69, 7 m²:
Viesistaba – 21, 6 m²
Divas guļamistabas – 11, 5 m² un 15, 6 m²
Virtuve – 11, 3 m²
Apvienota tualete un dušas telpa – 2, 5 m²
Gaitenis – 6, 1 m² un 1, 1 m²
Griestu augstums: 2, 8 m
Logi vērsti uz Brīvības ielu. 
Centrālā apkure. 
Pirms pāris gadiem izremontēta un apmēbelēta virtuve. 
Tīra un kārtīga kāpņu telpa. 
Zeme zem mājas ir nomā - 12, 61 EUR/mēn. 

Atrašanās vieta:
Ērta atrašanās vieta pašā Rīgas centrā. Sabiedriskā transporta pieturas tikai 10 m attālumā. Apkārtnē pieejami veikali, restorāni, izglītības iestādes un citas ikdienai nepieciešamās ērtības. 

Papildu informācija un apskate:
Lūdzu, zvaniet, lai iegūtu vairāk informācijas vai vienotos par apskates laiku. 
--

--",355
kengarags/njlkl,Ķengarags,Latgales 258-6,1,32,2,5,LT proj.,Paneļu - ķieģeļu,"Balkons, Parkošanas vieta",32900.00,1028.13000,https://www.ss.com/msg/lv/real-estate/flats/riga/kengarags/njlkl.html,"Pārdošanā dzīvoklis skaistā vietā pie Daugavas ar balkonu, 2.stāvs, visi logi uz klusu pagalmu. Blakus Daugavas promenāde pastaigām. Tuvumā sabiedriskā transporta pieturas, līdz centram 10-15 min. brauciens. Apsaimnieko Daugava DZĪKS. Dzīvoklī ir uzstādīts plastikāta logs ar durvīm istabā, ir izvestas visas mēbeles un sagatavots remontam. Istabā lamināta grīdas segums labā stāvoklī, taisnas sienas un griesti, kam nav jāveic remonts un taisnošana. Ērta piebraukšana, bezmaksas auto stāvvieta pie mājas. Slēdzama kāpņu telpa ar koda atslēgu. 
Ir pieejams slēdzams pagrabs.",356
agenskalns/eokgj,Āgenskalns,Zemaišu 15,4,78,3,6,Jaun.,Paneļu,"Balkons, Parkošanas vieta",205700.00,2637.18000,https://www.ss.com/msg/lv/real-estate/flats/riga/agenskalns/eokgj.html,"Dzīvoklis energoefektīvā jaunajā projektā “Mārpagalmi 2”. 

+Dzīvoklis tiek piedāvāts ar pilnu apdari un aprīkotu sanitāro mezglu un rekuperācijas sistēmu;
+Labiekārtota teritorija ar bērnu laukumiem, pašiem savu parku ar dīķi un strūklaku. Visā teritorijā tiek veikta videonovērošana;
+Iedzīvotāju ērtībai dzīvokļiem ir individuālie skaitītāji, kuri tiek nolasīti bez dzīvokļu īpašnieku iesaistes. Sakopta, slēdzama kāpņu telpa aprīkota ar pasažieru liftiem, pieejamas velo novietnes. 
+Brīnišķīga atrašanās vieta vienā no pilsētas pieprasītākajiem mikrorajoniem - Āgenskalns. Šī daudzdzīvokļu nama izvietojums sniegs Jums attīstītas infrastruktūras priekšrocības. Tuvumā ir sabiedriskais transports, veikali, izglītības un medicīnas iestādes, aktīvas atpūtas iespējas, kā arī iespēju īsā laika posmā nonākt pilsētas centrā. 

Par iespējām iegādāties citus dzīvokļus šajā projektā vai uzzināt informāciju par citiem projektiem no attīstītāja “Yit Latvija” lūgums sazināties izmantojot norādīto kontaktinformāciju. 

Квартира в энергоэффективном новом проекте “Mārpagalmi 2”. 

+ Квартира предлагается с полной отделкой и оборудованным санузлом, а также с системой рекуперации;
+ Благоустроенная территория с детскими площадками, своим парком с прудом и фонтаном. На всей территории ведется видеонаблюдение;
+ Для удобства жителей в квартирах установлены индивидуальные счетчики, которые считываются автоматически без участия собственника квартиры. Ухоженная, закрытая лестничная клетка оборудована пассажирскими лифтами, установлены велосипедные парковки;
+ Прекрасное расположение в одном из самых востребованных микрорайонов - Агенскалнсе. Местонахождение этого многоквартирного дома предоставит Вам преимущества развитой инфраструктуры. Рядом общественный транспорт, магазины, образовательные и медицинские учреждения, возможности для активного отдыха, а также возможность добраться до центра города за короткий промежуток времени. 

По вопросам приобретения других квартир в этом проекте или получить информацию о других проектах от застройщика “Yit Latvija”, просьба связаться с нами, используя указанную контактную информацию.",357
agenskalns/edipm,Āgenskalns,Zemaišu 15,2,44,3,6,Jaun.,Paneļu,"Balkons, Parkošanas vieta",127100.00,2888.64000,https://www.ss.com/msg/lv/real-estate/flats/riga/agenskalns/edipm.html,"Dzīvoklis energoefektīvā jaunajā projektā “Mārpagalmi 2”. 

+Dzīvoklis tiek piedāvāts ar pilnu apdari un aprīkotu sanitāro mezglu un rekuperācijas sistēmu;
+Labiekārtota teritorija ar bērnu laukumiem, pašiem savu parku ar dīķi un strūklaku. Visā teritorijā tiek veikta videonovērošana;
+Iedzīvotāju ērtībai dzīvokļiem ir individuālie skaitītāji, kuri tiek nolasīti bez dzīvokļu īpašnieku iesaistes. Sakopta, slēdzama kāpņu telpa aprīkota ar pasažieru liftiem, pieejamas velo novietnes. 
+Brīnišķīga atrašanās vieta vienā no pilsētas pieprasītākajiem mikrorajoniem - Āgenskalns. Šī daudzdzīvokļu nama izvietojums sniegs Jums attīstītas infrastruktūras priekšrocības. Tuvumā ir sabiedriskais transports, veikali, izglītības un medicīnas iestādes, aktīvas atpūtas iespējas, kā arī iespēju īsā laika posmā nonākt pilsētas centrā. 

Par iespējām iegādāties citus dzīvokļus šajā projektā vai uzzināt informāciju par citiem projektiem no attīstītāja “Yit Latvija” lūgums sazināties izmantojot norādīto kontaktinformāciju. 

Квартира в энергоэффективном новом проекте “Mārpagalmi 2”. 

+ Квартира предлагается с полной отделкой и оборудованным санузлом, а также с системой рекуперации;
+ Благоустроенная территория с детскими площадками, своим парком с прудом и фонтаном. На всей территории ведется видеонаблюдение;
+ Для удобства жителей в квартирах установлены индивидуальные счетчики, которые считываются автоматически без участия собственника квартиры. Ухоженная, закрытая лестничная клетка оборудована пассажирскими лифтами, установлены велосипедные парковки;
+ Прекрасное расположение в одном из самых востребованных микрорайонов - Агенскалнсе. Местонахождение этого многоквартирного дома предоставит Вам преимущества развитой инфраструктуры. Рядом общественный транспорт, магазины, образовательные и медицинские учреждения, возможности для активного отдыха, а также возможность добраться до центра города за короткий промежуток времени. 

По вопросам приобретения других квартир в этом проекте или получить информацию о других проектах от застройщика “Yit Latvija”, просьба связаться с нами, используя указанную контактную информацию.",358
